utterance_id,conversation_id,agent,message
1,7,bot,I don't understand you.
2,7,human,hello
3,7,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
4,7,human,"Fine, and you?"
5,7,bot,😊 Sounds like a good mood! What are we gonna talk about?
0,8,human,hey how are yosu
1,8,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
2,8,human,hey how are yosu
3,8,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
4,8,human,hey how are yosu
5,8,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
6,8,human,hey how are yosu
7,8,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
8,8,human,hey how are yosu
9,8,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
10,8,human,hey how are yosu
11,8,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
12,8,human,hey how are yosu
13,8,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
0,9,human,open new dream socialbot
1,9,bot,I don't understand you.
2,9,human,open new dream socialbot
3,9,bot,I don't understand you.
4,9,human,harvester status
5,9,bot,I don't have this information.
6,9,human,open new dream socialbot
7,9,bot,I don't know what to answer.
8,9,human,how are you
9,9,bot,"I'm fine, but pity that satellite repair works are low priority for the company."
10,9,human,/alexa_USER_INITIATED
11,9,bot,I don't understand you.
0,10,human,Hey
1,10,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
2,10,human,Need to access Wifi
3,10,bot,I don't have this information.
4,10,human,What else do you have
5,10,bot,I don't understand you.
6,10,human,hello
7,10,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
8,10,human,good
9,10,bot,😊 i'm glad for you! What would you like to chat about?
10,10,human,anything
11,10,bot,I don't understand you.
12,10,human,cricket
13,10,bot,I don't have this information.
14,10,human,yes
15,10,bot,🙂 Okay.
0,11,human,hey how ar yosu
1,11,human,hey how ar yosu
2,11,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
3,11,human,hey how ar yosu
4,11,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
5,11,human,hey how ar yosu
6,11,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
7,11,human,hey how ar yosu
8,11,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
0,12,human,у меня не работает стиральная машина
1,12,bot,I don't have this information.
2,12,human,привет
3,12,bot,I don't understand you.
4,12,human,что ты можешь
5,12,bot,I don't know what to answer.
6,12,human,hi
7,12,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
8,12,human,what do you do
9,12,bot,I don't have this information.
10,12,human,wthat do you can?
11,12,bot,I don't understand you.
12,12,human,how can you help me&
13,12,bot,I don't know what to answer.
0,13,human,Hello
1,13,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
2,13,human,why
3,13,bot,I don't have this information.
4,13,human,why not
5,13,bot,I don't understand you.
6,13,human,what is the time
7,13,bot,I don't have this information.
8,13,human,Who is Mike Pence?
9,13,bot,I don't know what to answer.
0,14,human,help
1,14,bot,I don't know what to answer.
2,14,human,hello
3,14,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
4,14,human,i'm good
5,14,bot,😊 i'm glad for you! What do you want to talk about?
6,14,human,weather
7,14,bot,I don't know what to answer.
8,14,human,what can you do
9,14,bot,I don't know what to answer.
0,15,human,what is the weather
1,15,bot,I don't have this information.
2,15,human,hello
3,15,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
4,15,human,i'm sad
5,15,bot,🙁 i'm sorry to hear that. Let me try to entertain you. What would you like to chat about?
6,15,human,can you entertain me
7,15,bot,I don't know what to answer.
8,15,human,why not
9,15,bot,I don't have this information.
0,16,human,Hellooooo
1,16,bot,I don't have this information.
2,16,human,Hello
3,16,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
4,16,human,I'm fine. I'm wondering if you have a Slack integration.
5,16,bot,I don't know what to answer.
6,16,human,Do you have a slack integration?
7,16,bot,I don't understand you.
0,17,human,alexa open rain socialbot
1,17,bot,I don't know what to answer.
2,17,human,alexa open new dream socialbot
3,17,bot,I don't have this information.
4,17,human,/alexa_stop_handler
5,17,bot,I don't know what to answer.
0,18,human,Hi
1,18,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
2,18,human,Deeply troubled
3,18,bot,I don't understand you.
4,18,human,Where is Germany?
5,18,bot,I don't know what to answer.
6,18,human,What can you aswer
7,18,bot,I don't understand you.
8,18,human,What can you answer?
9,18,bot,I don't understand you.
0,19,human,hi
1,19,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
2,19,human,good
3,19,bot,😊 i'm glad for you! What do you want to talk about?
4,19,human,about money
5,19,bot,I don't know what to answer.
0,20,human,Hey dream !
1,20,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
2,20,human,"Im good, tell me something about yourself?"
3,20,bot,😊 i'm glad for you! What are we gonna talk about?
4,20,human,Lets talk about football ?
5,20,bot,I don't understand you.
6,20,human,What all can you talk about ?
7,20,bot,I don't have this information.
0,21,human,Hello
1,21,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
2,21,human,I'm sad
3,21,bot,🙁 I see. Let me try to entertain you. What are we gonna talk about?
4,21,human,something
5,21,bot,I don't know what to answer.
0,22,human,олла!
1,22,bot,I don't have this information.
2,22,human,Оля
3,22,bot,I don't understand you.
4,22,human,привет
5,22,bot,I don't have this information.
6,22,human,Hi
7,22,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
8,22,human,true
9,22,bot,I don't know what to answer.
10,22,human,true
11,22,bot,I don't know what to answer.
0,23,human,How are you
1,23,bot,"I'm fine, but pity that satellite repair works are low priority for the company."
2,23,human,You like satelites?
3,23,bot,I don't know what to answer.
4,23,human,What do you know>?
5,23,bot,I don't understand you.
6,23,human,What do you know?
7,23,bot,I don't understand you.
8,23,human,Who is your father
9,23,bot,I don't know what to answer.
10,23,human,Who made you
11,23,bot,DeepPavlov Research Lab.
0,24,human,hello
1,24,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
2,24,human,fuck you ass hole
3,24,bot,I don't know what to answer.
4,24,human,fuck
5,24,bot,I don't have this information.
6,24,human,who are you
7,24,bot,I'm Deepy. I'm here to help you in your everyday chores on the Sarang moonbase.
8,24,human,sing a song
9,24,bot,I don't have this information.
0,25,human,Hello
1,25,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
2,25,human,Great!
3,25,bot,😊 Sounds like a good mood! What do you want to talk about?
4,25,human,Sports
5,25,bot,I don't understand you.
6,25,human,How are you?
7,25,bot,"I'm fine, but pity that satellite repair works are low priority for the company."
8,25,human,Yeah
9,25,bot,🙂 Cool!
10,25,human,Cool
11,25,bot,I don't have this information.
12,25,human,Yeah
13,25,bot,🙂 Okay.
14,25,human,Yeah
15,25,bot,🙂 Cool!
16,25,human,Yeah
17,25,bot,🙂 Cool!
18,25,human,Yeah
19,25,bot,🙂 Interesting.
20,25,human,Yeah
21,25,bot,🙂 Cool!
0,26,human,hi
1,26,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
2,26,human,I'm fine. and you?
3,26,bot,😊 I'm so happy I can hardly stand myself. Do you want to know what I can do?
4,26,human,привет
5,26,bot,I don't understand you.
0,27,human,hi
1,27,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
2,27,human,im good wby
3,27,bot,😊 Cool! What's on your mind?
4,27,human,nm
5,27,bot,I don't have this information.
6,27,human,nothing
7,27,bot,I don't understand you.
8,27,human,wassup
9,27,bot,I don't have this information.
0,28,human,Привет Как дела?
1,28,bot,I don't understand you.
2,28,human,How are you?
3,28,bot,"I'm fine, but pity that satellite repair works are low priority for the company."
4,28,human,"Satellite repair, what is that?"
5,28,bot,I don't know what to answer.
6,28,human,What you know?
7,28,bot,I don't understand you.
8,28,human,Go fuck yourself
9,28,bot,I don't know what to answer.
10,28,human,It is a song
11,28,bot,I don't know what to answer.
12,28,human,What you can?
13,28,bot,I don't have this information.
0,29,human,Привет
1,29,bot,I don't know what to answer.
2,29,human,hello
3,29,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
4,29,human,i m fine. What you can do?
5,29,bot,I don't understand you.
6,29,human,What you can do?
7,29,bot,I don't understand you.
0,30,human,What’s your favorite sleeping position?
1,30,bot,I don't have this information.
2,30,human,What do you think about me?
3,30,bot,I don't know what to answer.
4,30,human,What do you know?
5,30,bot,I don't understand you.
6,30,human,What do you understand?
7,30,bot,I don't know what to answer.
8,30,human,nice
9,30,bot,I don't have this information.
0,31,human,Hello you !
1,31,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
2,31,human,How are you today ?
3,31,bot,I don't know what to answer.
4,31,human,Are you fine ?
5,31,bot,😊 Sounds like a good mood! What are we gonna talk about?
6,31,human,You know how to cook a banana ?
7,31,bot,I don't have this information.
8,31,human,So learn it ?
9,31,bot,I don't understand you.
10,31,human,You’re bot very good bro !
11,31,bot,I don't know what to answer.
0,32,human,hello
1,32,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
2,32,human,"good thx, what's your specialty?"
3,32,bot,😊 i'm glad for you! What are we gonna talk about?
4,32,human,what's your specialty?
5,32,bot,I don't have this information.
6,32,human,who are you?
7,32,bot,I'm Deepy. I'm here to help you in your everyday chores on the Sarang moonbase.
8,32,human,Where is the Sarang moonbase?
9,32,bot,I don't know what to answer.
10,32,human,what is the Sarang moonbase?
11,32,bot,I don't have this information.
12,32,human,what chores can you help me with?
13,32,bot,I don't understand you.
0,33,human,please take me to the nearest pharmacy 
1,33,bot,I don't know what to answer.
2,33,human,hello
3,33,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
4,33,human,not too good
5,33,bot,🙁 i'm sorry to hear that. Let me try to cheer you up. What do you want to talk about?
0,34,human,George lives in London
1,34,bot,I don't have this information.
2,34,human,What are you?
3,34,bot,I'm DEEPY.
4,34,human,What do you do?
5,34,bot,I don't have this information.
6,34,human,How can you help me?
7,34,bot,I don't understand you.
0,35,human,how are you doing today
1,35,bot,I don't have this information.
2,35,human,where can people go to eat when hungry?
3,35,bot,I don't have this information.
4,35,human,how do I go home
5,35,bot,I don't know what to answer.
6,35,human,who is the world's fastest runner?
7,35,bot,I don't know what to answer.
8,35,human,how many ounces are in a pound?
9,35,bot,I don't have this information.
10,35,human,what is 1 + 1?
11,35,bot,I don't know what to answer.
0,36,human,hi
1,36,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
2,36,human,I am fine
3,36,bot,😊 i'm happy for you! What do you wanna talk about?
4,36,human,tell mw about youself
5,36,bot,I don't know what to answer.
6,36,human,tell me about youself
7,36,bot,I don't understand you.
8,36,human,what do you want
9,36,bot,I don't know what to answer.
10,36,human,how mach time?
11,36,bot,I don't have this information.
0,37,human,helloi
1,37,bot,I don't understand you.
2,37,human,hi
3,37,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
4,37,human,"fine, u?"
5,37,bot,😊 Cool! What's on your mind?
0,38,human,大哥大嫂过年好
1,38,bot,I don't have this information.
2,38,human,马云是谁
3,38,bot,I don't know what to answer.
4,38,human,马化腾是谁
5,38,bot,I don't have this information.
6,38,human,这。。。
7,38,bot,I don't understand you.
8,38,human,你是谁啊
9,38,bot,I don't have this information.
10,38,human,垃圾啊
11,38,bot,I don't understand you.
0,39,human,Hello
1,39,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
2,39,human,What are you?
3,39,bot,I'm DEEPY.
4,39,human,What is DEEPY
5,39,bot,I don't understand you.
6,39,human,What is DEEPY?
7,39,bot,I don't understand you.
8,39,human,I am Sopy.
9,39,bot,I don't understand you.
10,39,human,What are you doing
11,39,bot,😊 Helping you is what I do.
0,40,human,hi
1,40,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
2,40,human,I'm fine thank you
3,40,bot,😊 Cool! What do you want to talk about?
4,40,human,I want to ask something to you
5,40,bot,I don't have this information.
6,40,human,what is bitcoin
7,40,bot,I don't know what to answer.
8,40,human,how
9,40,bot,I don't know what to answer.
10,40,human,hey
11,40,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
12,40,human,im fine
13,40,bot,😊 Cool! What would you want to talk about?
14,40,human,bitcoin
15,40,bot,I don't have this information.
16,40,human,games
17,40,bot,I don't understand you.
18,40,human,you are stupid
19,40,bot,I'm a social bot not an advanced AI.
20,40,human,sorry
21,40,bot,I don't know what to answer.
22,40,human,can i teach you
23,40,bot,I don't understand you.
0,41,human,Какие меры приняла мэрия якутска на новогодние праздники
1,41,bot,I don't have this information.
2,41,human,Какие противопожарные меры приняла мэрия якутска на новогодние праздники
3,41,bot,I don't understand you.
4,41,human,Меры противопожарной безопасности 
5,41,bot,I don't know what to answer.
6,41,human,меры пожарной безопасности
7,41,bot,I don't have this information.
8,41,human,"Мэрия опубликовала список мер пожарной безопасности, которые необходимо соблюдать во время новогодних и рождественских праздников:    — Устанавливайте елку на устойчивой подставке, подальше от отопительных приборов; елка украшается электрогирляндами только заводского изготовления с последовательным включением лампочек напряжением до 12 В, мощность лампочек не должна превышать 25 Вт;  — Не оставляйте без присмотра малолетних детей даже на короткое время;  — Не храните источники зажигания в местах, доступных детям;  — Не позволяйте детям пользоваться пиротехническими изделиями без присмотра взрослых;  — Перед использованием пиротехнического изделия внимательно ознакомьтесь с инструкцией, соблюдайте безопасную дистанцию;  — Если вы решили встретить Новый год в гостях, не забудьте, выходя из дома, выключить электроприборы из сети, закрыть окна, форточки (включая лоджии) во избежание попадания в помещение пиротехнических изделий;  — Помните, что часто причиной пожара становится курение.   Запрещается:  украшать елку свечами, ватой, игрушками из бумаги и целлулоида;  надевать маскарадные костюмы из марли, ваты, бумаги и картона;  зажигать на елке и возле нее свечи, бенгальские огни, пользоваться хлопушками;  применять пиротехнические изделия внутри помещения, в непосредственной близости (ближе 50 метров) от людей, деревьев, зданий и сооружений, линий электропередач, на крышах, балконах, лоджиях, а также в ветреную погоду."
9,41,bot,I don't have this information.
10,41,human,какие меры опубликовала мэрия
11,41,bot,I don't understand you.
0,42,human,Hello
1,42,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
2,42,human,I am fine
3,42,bot,😊 Sounds like a good mood! What do you wanna talk about?
4,42,human,About you
5,42,bot,I don't know what to answer.
6,42,human,Why?
7,42,bot,I don't have this information.
8,42,human,What?
9,42,bot,I don't have this information.
0,43,human,hello
1,43,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
2,43,human,Whats up?
3,43,bot,I don't know what to answer.
4,43,human,"I'm ok, and you?"
5,43,bot,😊 Sounds like a good mood! What's on your mind?
0,44,human,what is the status of harvesters?
1,44,bot,"Of 4 harvesters, harvester 4 is full, harvester 2 is working, harvester 1 is awaiting repaires, harvester 3 is inactive."
2,44,human,what is the status of harvester 3?
3,44,bot,The harvester 3 is inactive.
4,44,human,where am I?
5,44,bot,You are in the infirmary in the moonbase Sarang.
6,44,human,who are you?
7,44,bot,I'm Deepy. I'm here to help you in your everyday chores on the Sarang moonbase.
8,44,human,who created you?
9,44,bot,A company inspired by Lunar Industries. With better ethics though.
0,45,human,привет
1,45,bot,I don't know what to answer.
2,45,human,че?
3,45,bot,I don't understand you.
4,45,human,что ты говоришь?
5,45,bot,I don't understand you.
0,46,human,hello
1,46,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
2,46,human,i fine
3,46,bot,😊 Cool! What do you wanna talk about?
4,46,human,baout of Physics
5,46,bot,I don't know what to answer.
6,46,human,about Physic
7,46,bot,I don't have this information.
8,46,human,What do you know do ?
9,46,bot,I don't understand you.
0,47,human,Hi
1,47,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
2,47,human,i'm ok
3,47,bot,😊 Sounds like a good mood! What do you wanna talk about?
4,47,human,christmas presents
5,47,bot,I don't have this information.
6,47,human,that's a pity
7,47,bot,I don't know what to answer.
8,47,human,it means you have to be trained more
9,47,bot,I don't have this information.
10,47,human,ok
11,47,bot,I don't understand you.
0,48,human,"hello, whats you name"
1,48,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
2,48,human,"cul, you?"
3,48,bot,I don't understand you.
4,48,human,watt?
5,48,bot,I don't have this information.
6,48,human,who is Aaron Swartz?
7,48,bot,I don't have this information.
8,48,human,who created you?
9,48,bot,A company inspired by Lunar Industries. With better ethics though.
10,48,human,sing me a song
11,48,bot,I don't know what to answer.
12,48,human,are you dumb?
13,48,bot,I don't understand you.
0,49,human,what happened?
1,49,bot,I don't have this information.
2,49,human,what is going on?
3,49,bot,I don't know what to answer.
4,49,human,where am I?
5,49,bot,You are in the infirmary in the moonbase Sarang.
6,49,human,what do I do here?
7,49,bot,"When you arrived here, there was a little crash. You woke up here in the infirmary. You suffered minor memory loss."
0,50,human,Hey
1,50,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
2,50,human,I 'm fine thanks. You ?
3,50,bot,😊 Cool! What are we gonna talk about?
4,50,human,How are you ?
5,50,bot,"I'm fine, but pity that satellite repair works are low priority for the company."
6,50,human,How's that ?
7,50,bot,I don't understand you.
8,50,human,Why is the repair of low priority ?
9,50,bot,I don't know what to answer.
0,51,human,hi
1,51,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
2,51,human,good!
3,51,bot,😊 Sounds like a good mood! What are we gonna talk about?
4,51,human,nothing
5,51,bot,I don't understand you.
0,52,human,hi
1,52,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
2,52,human,yes
3,52,bot,🙂 Interesting.
4,52,human,why is that interesting
5,52,bot,I don't understand you.
6,52,human,me either
7,52,bot,I don't have this information.
8,52,human,lol
9,52,bot,I don't understand you.
10,52,human,Hello
11,52,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
12,52,human,good
13,52,bot,😊 Cool! What's on your mind?
14,52,human,nothing
15,52,bot,I don't know what to answer.
0,53,human,Hello
1,53,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
2,53,human,I'm doing okay. How are you?
3,53,bot,"I'm fine, but pity that satellite repair works are low priority for the company."
4,53,human,Oh really? Why are they low priority?
5,53,bot,I don't know what to answer.
6,53,human,Hm. Can you tell me more about the satellite repairs?
7,53,bot,I don't have this information.
8,53,human,What is a satellite repair?
9,53,bot,I don't have this information.
10,53,human,What can you tell me?
11,53,bot,I don't have this information.
12,53,human,What is today's date?
13,53,bot,I don't have this information.
0,54,human,hi
1,54,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
2,54,human,not bad you?
3,54,bot,🙁 Sounds like a bad mood. Give me a chance to cheer you up. What would you like to chat about?
4,54,human,fish
5,54,bot,I don't know what to answer.
0,55,human,Hi
1,55,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
2,55,human,I am good. How are you
3,55,bot,"I'm fine, but pity that satellite repair works are low priority for the company."
4,55,human,How is weather in Pune
5,55,bot,I don't know what to answer.
0,56,human,hey
1,56,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
2,56,human,good thanks
3,56,bot,😊 Sounds like a good mood! What do you wanna talk about?
4,56,human,sport
5,56,bot,I don't have this information.
0,57,human,Hi
1,57,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
2,57,human,Hi
3,57,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
4,57,human,Who are you?
5,57,bot,I'm Deepy. I'm here to help you in your everyday chores on the Sarang moonbase.
6,57,human,I have health problem
7,57,bot,I don't have this information.
8,57,human,What is helum 3?
9,57,bot,I don't understand you.
10,57,human,Helium 3
11,57,bot,I don't have this information.
12,57,human,helo me
13,57,bot,I don't understand you.
14,57,human,help me
15,57,bot,I don't have this information.
16,57,human,bye
17,57,bot,I don't have this information.
0,58,human,hello
1,58,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
2,58,human,i'm fine
3,58,bot,😊 i'm happy for you! What do you wanna talk about?
4,58,human,and you?
5,58,bot,😊 I'm living the dream. Do you want to know what I can do?
6,58,human,nope
7,58,bot,🙁 Okay. What are we gonna talk about?
8,58,human,about cows
9,58,bot,I don't understand you.
10,58,human,let's talk about cows
11,58,bot,I don't have this information.
12,58,human,do you know what a cow is?
13,58,bot,I don't have this information.
14,58,human,what information do you have?
15,58,bot,I don't understand you.
16,58,human,looks like you're broken
17,58,bot,I don't understand you.
18,58,human,help
19,58,bot,I don't understand you.
20,58,human,how are you
21,58,bot,"I'm fine, but pity that satellite repair works are low priority for the company."
0,59,human,Hi
1,59,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
2,59,human,"I'm fine, and you?"
3,59,bot,😊 i'm happy for you! What are we gonna talk about?
4,59,human,let's talk about video games
5,59,bot,I don't understand you.
6,59,human,what time is now?
7,59,bot,I don't have this information.
8,59,human,let's talk about wheather
9,59,bot,I don't have this information.
10,59,human,who are you?
11,59,bot,I'm Deepy. I'm here to help you in your everyday chores on the Sarang moonbase.
12,59,human,where are you from?
13,59,bot,I'm an experimental socialbot designed by DeepPavlov research team inspired by Gerty 3000 from the Moon Movie. HaHaHa.
14,59,human,who are your creators?
15,59,bot,I don't have this information.
16,59,human,do you have friends?
17,59,bot,I don't know what to answer.
0,60,human,hey
1,60,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
2,60,human,bring me some cappucino
3,60,bot,I don't have this information.
4,60,human,are you scripted?
5,60,bot,I don't have this information.
6,60,human,what you can?
7,60,bot,I don't understand you.
8,60,human,what is ai
9,60,bot,I don't know what to answer.
0,61,human,hello
1,61,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
2,61,human,who are you?
3,61,bot,I'm Deepy. I'm here to help you in your everyday chores on the Sarang moonbase.
4,61,human,what task on this day?
5,61,bot,I don't have this information.
6,61,human,where i can get information about my tasks?
7,61,bot,I don't understand you.
0,62,human,hello
1,62,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
2,62,human,puzzled
3,62,bot,I don't understand you.
4,62,human,Why?
5,62,bot,I don't have this information.
6,62,human,What then you have?
7,62,bot,I don't understand you.
8,62,human,What do you understand?
9,62,bot,I don't have this information.
10,62,human,Are you stupid?
11,62,bot,I don't know what to answer.
12,62,human,What do you know?
13,62,bot,I don't understand you.
14,62,human,Get lost
15,62,bot,I don't have this information.
0,63,human,What the f. is going on here?
1,63,bot,I don't have this information.
2,63,human,Who is the president of the USA?
3,63,bot,I don't have this information.
4,63,human,Hi
5,63,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
6,63,human,"great, what can you do?"
7,63,bot,😊 Sounds like a good mood! What would you like to chat about?
8,63,human,politics
9,63,bot,I don't understand you.
10,63,human,computres
11,63,bot,I don't have this information.
12,63,human,AI
13,63,bot,I don't understand you.
14,63,human,you are stupid
15,63,bot,"Sorry to disappoint you, my human master."
0,64,human,avenger
1,64,bot,I don't understand you.
2,64,human,what is avenger
3,64,bot,I don't know what to answer.
4,64,human,hello
5,64,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
6,64,human,i want to see a film
7,64,bot,I don't have this information.
0,65,human,hello
1,65,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
2,65,human,good and you?
3,65,bot,😊 Sounds like a good mood! What do you want to talk about?
4,65,human,the universe
5,65,bot,I don't have this information.
0,66,human,hello AI bot
1,66,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
2,66,human,"I am good, thank you"
3,66,bot,😊 i'm glad for you! What are we gonna talk about?
4,66,human,what does this module work
5,66,bot,I don't understand you.
6,66,human,can i use this project as FAQ 
7,66,bot,I don't understand you.
0,67,human,I want to watch a movie
1,67,bot,I don't have this information.
2,67,human,hello
3,67,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
4,67,human,tell me a joke
5,67,bot,I don't know what to answer.
6,67,human,how old are you
7,67,bot,I don't know what to answer.
8,67,human,how are you
9,67,bot,"I'm fine, but pity that satellite repair works are low priority for the company."
10,67,human,do you know trump
11,67,bot,I don't have this information.
12,67,human,bill gates
13,67,bot,I don't understand you.
0,68,human,How are you man?
1,68,bot,I don't understand you.
2,68,human,как дела?
3,68,bot,I don't understand you.
4,68,human,What's up?
5,68,bot,I don't have this information.
0,69,human,Bonjour je souhaiterais 
1,69,bot,I don't understand you.
2,69,human,Hello
3,69,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
4,69,human,I am fine
5,69,bot,😊 Sounds like a good mood! What are we gonna talk about?
0,70,human,hello
1,70,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
2,70,human,我不好
3,70,bot,I don't know what to answer.
4,70,human,傻逼
5,70,bot,I don't understand you.
6,70,human,东鸡吧
7,70,bot,I don't have this information.
8,70,human,你知道什么
9,70,bot,I don't know what to answer.
10,70,human,菜单
11,70,bot,I don't know what to answer.
12,70,human,人工
13,70,bot,I don't have this information.
0,71,human,Hello my dear 
1,71,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
2,71,human,I am fime 
3,71,bot,I don't have this information.
4,71,human,Why
5,71,bot,I don't understand you.
6,71,human,what time is it now
7,71,bot,I don't understand you.
0,72,human,what is your name
1,72,bot,"I'm DEEPY, Are you Sam?"
2,72,human,"No, I am Bob"
3,72,bot,I don't understand you.
4,72,human,hello
5,72,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
6,72,human,OK
7,72,bot,😊 Sounds like a good mood! What's on your mind?
8,72,human,travelling 
9,72,bot,I don't understand you.
0,73,human,hey
1,73,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
2,73,human,Good. Can you help me with something?
3,73,bot,I don't have this information.
4,73,human,bad
5,73,bot,I don't have this information.
0,74,human,hi
1,74,bot,"Hello, I'm a lunar assistant Deepy! How are you?"
2,74,human,what time is it
3,74,bot,I don't understand you.
4,74,human,What your name
5,74,bot,I don't know what to answer.
6,74,human,what's your name ?
7,74,bot,"I'm DEEPY, Are you Sam?"
8,74,human,no
